MD,X,Y,Z,TVD,DX,DY,AZIM_TN,INCL,DLS,AZIM_GN
2810,588980.5725,2156493.391,-2625.856443,2662.556443,-198.1775521,648.6406975,350.3546023,38.36998655,1.651659502,350.0709725
2820,588979.4981,2156499.541,-2633.666716,2670.366716,-199.2519263,654.7905771,350.3936298,38.92,1.651659502,350.11
2830,588978.4098,2156505.764,-2641.416869,2678.116869,-200.3401706,661.0135964,350.3356532,39.46663893,1.643595883,350.0520234
2840,588977.3026,2156512.058,-2649.106377,2685.806377,-201.447395,667.3080431,350.2790049,40.01330598,1.643595883,349.9953751
2850,588976.1765,2156518.423,-2656.734539,2693.434539,-202.5734982,673.6733417,350.2236298,40.56,1.643595883,349.94
2860,588975.0467,2156524.849,-2664.311332,2701.011333,-203.7032682,680.0990492,350.3994711,40.91973909,1.132799055,350.1158413
2870,588973.9285,2156531.325,-2671.846986,2708.546986,-204.821529,686.5749231,350.5727825,41.27974144,1.132799055,350.2891527
2880,588972.8218,2156537.851,-2679.341173,2716.041173,-205.9282318,693.1006821,350.7436298,41.64,1.132799055,350.46
2895,588971.1774,2156547.707,-2690.525927,2727.225927,-207.5725765,702.9564678,350.8793906,41.92992094,0.607412568,350.5957608
2910,588969.5471,2156557.622,-2701.659949,2738.359949,-209.2028565,712.8718181,351.0136298,42.22,0.607412568,350.73
2920,588968.4771,2156564.276,-2709.045318,2745.745318,-210.2728659,719.5264062,351.2838024,42.56604548,1.173176296,351.0001726
2930,588967.4315,2156570.98,-2716.389796,2753.089796,-211.318551,726.2299105,351.5504418,42.91271735,1.173176296,351.266812
2940,588966.4101,2156577.732,-2723.69304,2760.39304,-212.3398632,732.9820185,351.8136298,43.26,1.173176296,351.53
2950,588965.3886,2156584.524,-2730.958996,2767.658996,-213.3613607,739.7741962,351.6486391,43.53643335,0.896320569,351.3650093
2960,588964.3424,2156591.348,-2738.191705,2774.891705,-214.407615,746.5979954,351.4853162,43.81310155,0.896320569,351.2016864
2970,588963.2714,2156598.203,-2745.39097,2782.09097,-215.4785978,753.4532305,351.3236298,44.09,0.896320569,351.04
2980,588962.139,2156605.069,-2752.570614,2789.270614,-216.6110535,760.3190997,350.5121041,44.13760623,1.700674372,350.2284743
2990,588960.9083,2156611.925,-2759.744123,2796.444123,-217.8416704,767.1744773,349.7020505,44.19094677,1.700674372,349.4184207
3000,588959.5797,2156618.769,-2766.910795,2803.610795,-219.1703281,774.018692,348.8936298,44.25,1.700674372,348.61
3007.5,588958.4865,2156623.881,-2772.287037,2808.987037,-220.2635435,779.1307441,347.5309556,44.16556059,3.815497777,347.2473258
